branch_name	branch_id	S_sub	N_sub	branch_length	is_fg	is_mg
mongolicum	116	0.0000	0.0000	0.0000	yes	no
Node89	117	0.0000	0.0000	0.0000	yes	no
mullaha	118	0.0000	0.0000	0.0000	yes	no
Node129	119	0.0000	0.0000	0.0000	yes	no
Node128	120	0.0000	0.4213	0.0000	yes	no
nervosum	121	0.0000	4.0001	0.0000	yes	no
nudum	122	0.0006	0.0009	0.0000	yes	no
Node80	123	0.4595	1.0501	0.0000	yes	no
obovatum	124	0.4757	0.0000	0.0000	yes	no
Node84	125	0.5221	0.0000	0.0000	yes	no
obtectum	126	0.0000	0.0000	0.0000	yes	no
obtusatum	127	0.0000	1.9999	0.0000	yes	no
odoratissi	128	0.0000	0.5246	0.0000	yes	no
Node76	129	0.0000	1.4754	0.0000	yes	no
oliganthum	130	0.0000	0.0000	0.0000	yes	no
Node69	131	0.0000	0.0000	0.0000	yes	no
Node68	132	0.0000	0.0000	0.0000	yes	no
Node66	133	0.0000	0.0000	0.0000	yes	no
opulus	134	1.0000	0.0001	0.0060	yes	no
orientale	135	0.9828	6.3147	0.0000	yes	no
Node127	136	0.0259	0.6196	0.0000	yes	no
Node126	137	0.0177	0.3029	0.0000	yes	no
parvifoliu	138	0.0000	0.9866	0.0000	yes	no
Node138	139	0.0000	0.0157	0.0000	yes	no
Node135	140	0.0000	0.0024	0.0000	yes	no
phlebotric	141	0.0000	1.0021	0.0000	yes	no
pichinchen	142	0.0000	0.0000	0.0000	yes	no
Node30	143	0.0000	0.0000	0.0000	yes	no
plicatum	144	0.0000	1.0000	0.0000	yes	no
Node59	145	0.0000	4.0000	0.0000	yes	no
Node58	146	0.0001	0.0000	0.0000	yes	no
propinquum	147	0.0000	1.0000	0.0000	yes	no
Node108	148	0.0000	0.0000	0.0000	yes	no
Node107	149	0.0010	0.7031	0.0000	yes	no
prunifoliu	150	0.0000	0.0000	0.0000	yes	no
punctatum	151	0.0000	0.0000	0.0000	yes	no
Node85	152	1.0000	3.7514	0.0033	yes	no
pyramidatu	153	0.0000	0.0000	0.0000	yes	no
Node61	154	0.0064	0.0023	0.0000	yes	no
Node60	155	1.9935	0.9977	0.0000	yes	no
Node57	156	0.0001	0.0002	0.0000	yes	no
rafinesqui	157	0.0000	0.0000	0.0000	yes	no
Node50	158	0.0000	0.0000	0.0000	yes	no
Node49	159	1.0000	1.0000	0.0062	yes	no
Node47	160	0.9436	2.0009	0.0010	yes	no
recognitum	161	0.0000	0.0000	0.0000	yes	no
Node46	162	0.0000	0.0000	0.0000	yes	no
rhytidophy	163	0.0000	0.0000	0.0000	yes	no
Node93	164	0.0000	0.0000	0.0000	yes	no
rufidulum	165	0.0000	0.0000	0.0000	yes	no
Node83	166	0.0469	0.0000	0.0000	yes	no
Node82	167	0.0893	0.0000	0.0000	yes	no
Node81	168	0.4881	0.0510	0.0000	yes	no
Node79	169	0.1198	1.1976	0.0000	yes	no
Node78	170	0.3373	0.3738	0.0000	yes	no
rugosum	171	0.0000	0.0011	0.0000	yes	no
sambucinum	172	0.0000	0.0000	0.0000	yes	no
Node123	173	0.0000	0.0000	0.0000	yes	no
Node122	174	0.0006	2.0099	0.0000	yes	no
sargentii	175	0.4255	0.5573	0.0000	yes	no
Node115	176	0.4950	1.5618	0.0000	yes	no
scabrellum	177	0.0000	0.0000	0.0000	yes	no
Node45	178	0.0000	1.2656	0.0000	yes	no
schensianu	179	0.0000	0.0000	0.0000	yes	no
seemenii	180	0.0000	0.0000	0.0000	yes	no
sempervire	181	0.0000	0.0000	0.0000	yes	no
Node145	182	0.0000	0.9979	0.0000	yes	no
Node143	183	0.0000	0.0043	0.0000	yes	no
setigerum	184	0.0000	0.9979	0.0000	yes	no
Node142	185	0.0000	0.0043	0.0000	yes	no
Node141	186	0.0000	0.0022	0.0000	yes	no
sieboldii	187	0.0000	1.0000	0.0000	yes	no
Node75	188	0.0000	0.0002	0.0000	yes	no
stellato-t	189	0.0000	0.0000	0.0000	yes	no
Node20	190	0.0000	0.4850	0.0000	yes	no
stenocalyx	191	0.0000	0.0000	0.0000	yes	no
Node44	192	0.0000	0.0000	0.0000	yes	no
Node43	193	0.0000	0.3320	0.0000	yes	no
Node42	194	0.0000	0.0001	0.0000	yes	no
stipitatum	195	0.0000	0.0000	0.0000	yes	no
Node36	196	0.0000	0.0000	0.0000	yes	no
Node35	197	0.0000	0.0000	0.0000	yes	no
subalpinum	198	1.0000	4.5700	0.0170	yes	no
subsessile	199	0.0000	0.0000	0.0000	yes	no
Node28	200	0.0000	0.0000	0.0000	yes	no
sulcatum	201	0.0000	0.0000	0.0000	yes	no
Node41	202	0.0000	0.2722	0.0000	yes	no
suspensum	203	0.0000	0.0000	0.0000	yes	no
sympodiale	204	1.0000	0.0016	0.0095	yes	no
Node105	205	0.0001	1.9978	0.0000	yes	no
Node104	206	0.0005	0.0068	0.0000	yes	no
Node103	207	0.0004	0.3594	0.0000	yes	no
taitoense	208	0.0000	0.0000	0.0000	yes	no
Node74	209	0.0000	0.0000	0.0000	yes	no
Node71	210	0.0000	0.0017	0.0000	yes	no
taiwanianu	211	0.0000	0.0000	0.0000	yes	no
tashiroi	212	0.0000	0.0000	0.0000	yes	no
